Region,Correlation,,,,Determinant,,,,Tune,,,,Beta beat BPM 1,,Beta beat BPM 2,
,BPMx 1,BPMx 2,BPMy 1,BPMy 2,BPMx 1,BPMx 2,BPMy 1,BPMy 2,BPMx 1,BPMx 2,BPMy 1,BPMy 2,beta x,beta y,beta x,beta y
bi5_b4/b3,0.02403143432,0.02685598933,0.5223981818,0.5411270771,0.04531561409,0.04531561409,0.5160850557,0.5160850557,0.2312784692,0.2312784692,,,,0.9665783143,,0.58799163
g5/g6,0.9769286033,0.9800082587,0.9900994668,0.9901541948,0.9719295434,0.9719295434,0.9718489707,0.9718489707,0.2362110347,0.2362110347,0.2288308024,0.2288308024,0.8329548906,0.8254087056,0.8378559629,0.8183744384
bo6_b3/b4,0.5520111185,0.5691454338,0.4959722496,0.4792998961,0.5539549847,0.5539549847,0.4767626128,0.4767626128,0.2387237749,0.2387237749,0.2363386713,0.2363386713,0.4244184941,0.2949452856,0.1148915871,0.3783276176
bi7_b4/b3,0.2917184678,0.2985739701,0.5868252657,0.574918977,0.2767957535,0.2767957535,0.5632216385,0.5632216385,0.2313935241,0.2313935241,0.2338424665,0.2338424665,-0.131717853,0.3630946289,0.08003600939,0.3172194574
g7/g8,0.288435839,0.2726159543,0.7745870401,0.7739167074,0.3061903197,0.3061903197,0.756414762,0.756414762,0.202957963,0.202957963,0.2260414005,0.2260414005,0.1774241131,0.05446219005,0.2086356733,0.110990571
bo8_b3/b4,0.1335345714,0.1279602076,0.7215063716,0.7513540691,0.1209309845,0.1209309845,0.7112327167,0.7112327167,0.2362732389,0.2362732389,0.2274502145,0.2274502145,0.4225791348,0.3000820105,0.4256900302,0.1033848297
bi9_b4/b3,0.5998664344,0.6217407676,0.8812261486,0.89222207,0.5838334992,0.5838334992,0.8792629073,0.8792629073,0.2305708026,0.2305708026,0.2291995395,0.2291995395,0.04088747952,0.3105643754,0.3822586779,-0.05263366166
g9/g10,0.8320615446,0.8378429282,0.9427183221,0.948779371,0.8295773297,0.8295773297,0.930352977,0.930352977,0.2363898319,0.2363898319,0.2296087355,0.2296087355,0.2324808146,0.04010321454,-0.1665664953,-0.1501837785
bo10_b3/b4,0.7892223117,0.7868895262,0.7285445081,0.7077593684,0.7828718447,0.7828718447,0.7027188654,0.7027188654,0.2335707953,0.2335707953,0.2309673907,0.2309673907,0.2007478153,-0.0235159544,-0.4797735699,0.06010438271
bi11_b4/b3,0.7835155986,0.7989766582,0.8064436341,0.80402216,0.7849668246,0.7849668246,0.7877693616,0.7877693616,0.2350449826,0.2350449826,0.2277060491,0.2277060491,-0.2957896929,-0.00595808696,0.2282693356,-0.1275975427
g11/g12,0.6964860879,0.7423314127,0.935188634,0.9364048821,0.7368127181,0.7368127181,0.9122305662,0.9122305662,0.2333695465,0.2333695465,0.2278839863,0.2278839863,-0.01500114682,-0.1216471823,0.2112349326,-0.009977786679
bo12_b3/b4,0.6776257721,0.6588093744,0.9053448989,0.909662287,0.65073273,0.65073273,0.8753747875,0.8753747875,0.238786671,0.238786671,0.2290304382,0.2290304382,0.413159683,-0.02712243804,0.07173367036,0.2926704148
,,,,,,,,,,,,Average beat:,0.2655967598,0.2777901989,0.2672454954,0.2507880093
,,,,,,,,,,,,Avg 6/8 reg,0.3315157476,0.4674285225,0.2778515438,0.3860480907
,,,,,,,,,,,,Avg 10/12 reg,0.199677772,0.08815187528,0.2566394469,0.1155279278
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Avg IP,0.3144652413,0.2604053231,0.356073266,0.2723816436
,,,,,,,,,,,,Avg IP 6/8,0.5051895018,0.4399354478,0.5232458181,0.4646825047
,,,,,,,,,,,,Avg IP 10/12,0.1237409807,0.08087519844,0.1889007139,0.0800807826
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Avg Mag,0.2411625191,0.2864826368,0.2228316101,0.2399911921
,,,,,,,,,,,,Avg Mag 6/8,0.2446788705,0.4811750598,0.1551544067,0.3467308837
,,,,,,,,,,,,Avg Mag 10/12,0.3330690815,0.08916962248,0.3013666515,0.1459392925